POLYGON,HOUR,RMSE,RSQUARED,SMAPE,name
10,16.0,68.93541484911547,0.532991497615807,71.6424369253275,Street City
10,12.0,73.97437173414636,0.39850289033985387,90.22393401065271,Street City
10,8.0,87.68571397775052,-0.4878423903106057,129.88941616383548,Street City
10,4.0,100.76399346824046,-0.8450683643214245,112.03884138494882,Street City
10,2.0,93.19443800701781,-10.48171960729589,41.632065470215764,Street City
10,1.0,11.404297594067767,0.781850502377088,5.077562438162317,Street City
11,32.0,595.7655411895911,0.6855205773014441,58.8500433069874,Trade Zone
11,24.0,578.6433813562817,0.6756769463908245,71.42527896403652,Trade Zone
11,16.0,431.46735959376406,0.7436661627980634,89.2853827896155,Trade Zone
11,12.0,394.0470515324762,0.08163632099083651,113.4108271233796,Trade Zone
11,8.0,409.31460849931875,-0.4983971519912127,138.2305530132353,Trade Zone
